code,iata,name,city,region,lat,lon,longest_rwy_ft
SIH8,,Fundação Rio Verde Show Safra Airport,Lucas do Rio Verde,BR-MT,-13.005,-55.9645,4593
SIIA,,Fazenda Paraná Airport,Brasnorte,BR-MT,-11.7,-58.2181,4593
SIJ2,,Fazenda Capão Grande Airport,Cristalina,BR-GO,-16.5667,-47.6161,4593
SIKZ,,Fazenda Olho D`Água Airport,Parnarama,BR-MA,-5.6638,-43.5361,3937
SILC,LVR,Municipal Bom Futuro Airport,Lucas do Rio Verde,BR-MT,-13.0379,-55.9502,5676
SILU,,BRPEC Agro-Pecuária Airport,Miranda,BR-MS,-19.8653,-56.9879,3937
SIMK,FRC,Tenente Lund Pressoto Airport,Franca,BR-SP,-20.5922,-47.3829,6562
SIMR,,Fazenda Reunidas Airport,Rio Verde,BR-GO,-17.7514,-51.1519,4265
SI4B,,Fazenda Santa Maria Airport,Jardim,BR-MS,-21.506,-56.4204,3937
SIOT,,Fazenda Santa Vergínia Airport,Santa Rita Do Pardo,BR-MS,-21.4881,-52.4073,5085
SIPA,,Aeroclube de São José do Rio Pardo Airport,São José Do Rio Pardo,BR-SP,-21.6472,-46.9283,3937
SIPE,,Itapessoca Airport,Goiana,BR-PE,-7.656,-34.8565,5906
SIPG,,Fazenda Água Preta Airport,Cocalinho,BR-MT,-14.1376,-51.4695,4757
SIPK,,SESC Pantanal Airport,Poconé,BR-MT,-16.4974,-56.4222,3937
SIPO,,Sebastião José Pereira Airport,Condeúba,BR-BA,-14.9242,-41.9567,3609
SIQE,,Botelho Airport,Brasília,BR-DF,-15.9375,-47.7266,5741
SIQJ,,Morro do Chapéu II Airport,Chapada Dos Guimarães,BR-MT,-14.9583,-55.8007,3937
